Customer Id,Artist Name,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Scheduled Date,Delivery Date,Customer Location,Cost
fffe3600310039003300,Esther Simmons,0.27,10,4,11909,Stone,29.47,28.18,Yes,No,No,Waterways,No,Working Class,No,04/29/19,04/26/19,"Jimenezfurt, WY 87107",-329.2
fffe3800350033003500,Pete Oh,0.1,37,9,239463,Marble,771.98,64.64,No,No,No,Roadways,Yes,Working Class,No,09/23/18,09/22/18,APO AE 89114,-1924.3
fffe3900360036003600,Ralph Mangum,0.11,19,14,7976,Bronze,7.1,82.84,No,Yes,No,Roadways,No,Wealthy,No,02-10-2017,02/14/17,"North Sarah, OR 85972",-425.64
fffe3500380035003600,Jennifer Johnson,0.54,,,65103,Stone,165.05,86.65,No,No,Yes,Roadways,No,Wealthy,No,04-11-2019,04/13/19,DPO AE 79107,-1354.11
fffe3300370038003200,Kathryn Dodge,0.59,20,9,198,,5.56,15.76,No,Yes,No,,No,Wealthy,No,11-10-2018,11-07-2018,"Sanchezborough, MI 63030",-318.74
fffe320030003900,Laura Price,0.11,,9,216919,Marble,263.03,46.56,Yes,No,Yes,Waterways,No,Working Class,No,07-06-2017,07-06-2017,"East Stephanie, WY 49027",-708.99
fffe3900360035003300,John Blair,0.66,9,5,184,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,No,11-10-2016,11-07-2016,FPO AE 03279,-244.61
fffe3600360032003400,Georgia Andrus,0.57,29,9,745770,Stone,3403.92,30.87,Yes,Yes,Yes,Airways,No,Working Class,No,11/15/18,11/13/18,"Dudleyview, NM 25088",-39680.72
fffe3200320035003600,Ma Sova,0.43,24,8,261562,Marble,1562.1,91.58,Yes,No,No,Waterways,No,Working Class,No,12/31/16,12/31/16,"North Elizabeth, AR 06294",-2296.74
fffe36003800,Mark Davis,,10,4,174,,6.63,19.61,Yes,No,No,Waterways,No,Working Class,No,06-10-2016,06/13/16,FPO AP 74160,-279.16
fffe3400350031003200,Chris Gomez,0.2,25,9,7901,Brass,8.56,93.59,No,No,No,Waterways,No,Working Class,Yes,10-03-2017,10-04-2017,"West Raymondfurt, VT 08481",-547.81
fffe3400300031003000,Nicole Bice,0.47,28,15,985,Aluminium,6.76,19.83,No,No,Yes,Roadways,No,Working Class,No,02-05-2017,02-01-2017,"Lake Bradleyside, IA 95560",-371.82
fffe320038003600,Marian Castillo,0.51,16,8,63720,,151.19,59.22,No,No,Yes,,No,Wealthy,Yes,05/23/18,05/23/18,"Justinmouth, MN 41168",-1087.36
fffe3100300038003400,Cheyenne Witt,0.67,17,6,182,Wood,6,11.04,No,No,No,,No,Wealthy,No,02-07-2016,02-08-2016,"Olsonport, CO 96580",-280.22
fffe3800390030003700,Eunice Winkler,0.56,20,8,53954,Marble,162.93,99.06,No,Yes,No,Airways,No,Working Class,No,03-05-2019,03-09-2019,"West Dakotaburgh, NH 74823",-1358.73
fffe3700370037003600,Henry Humphrey,0.25,10,4,4900,Marble,25.83,18.35,Yes,Yes,Yes,Airways,No,Wealthy,No,04/30/17,04/27/17,"Savannahland, SC 44156",-358.92
fffe38003100,Viola Lackland,0.31,13,7,449,Aluminium,4.91,24.67,No,No,Yes,Airways,No,Working Class,No,10-01-2018,10-01-2018,DPO AA 66525,-214.15
fffe3200310033003600,Robert Torres,0.57,6,4,79,,4.71,22.24,No,No,No,,Yes,Wealthy,,04-10-2017,04-10-2017,APO AA 74413,-241.48
fffe3500350031003600,Michael Doyle,0.01,,5,88,,6.51,22.49,Yes,No,No,Waterways,No,Working Class,No,02-03-2018,02-06-2018,"Lopezton, WV 10067",-128.38
fffe3200380038003500,Alejandro Reyes,0.68,8,5,301,Clay,4.38,20.36,Yes,No,No,Waterways,Yes,Working Class,No,04-01-2018,03/31/18,"Lake Anthony, OK 74169",-280.42
fffe3800320035003100,Amber Gutierrez,0.23,16,8,358,Aluminium,3.26,13.82,Yes,No,No,Airways,No,Wealthy,Yes,10/15/17,10-12-2017,"Finleyville, WV 40409",-179.32
fffe3700320035003300,Stefan Moquin,0.52,36,17,593,Wood,3.86,17,No,No,Yes,Roadways,No,Working Class,No,10/20/18,10/24/18,APO AP 74070,-288.58
fffe3900320032003700,Magdalena Jordan,0.59,22,15,16046,Brass,99.52,89.55,Yes,No,Yes,Waterways,No,Working Class,No,06/28/15,06/28/15,APO AP 17205,-4895.23
fffe380033003800,Gail Stalvey,0.01,16,7,1002,Clay,4.15,22.03,No,No,No,,Yes,Working Class,,11-01-2015,10/31/15,"Hillstad, HI 53450",-156.3
fffe3700330031003500,Luna Jones,0.93,29,8,7757,Bronze,24.29,78.75,Yes,No,No,Airways,No,Working Class,No,04-07-2017,04-07-2017,FPO AA 77937,-2944.95
fffe3100320036003700,James Chessman,0.58,,5,71,Aluminium,4.28,19.83,No,No,No,,No,Working Class,Yes,09/14/16,09/16/16,"Perezfort, RI 47397",-205.19
fffe3400390034003300,George Trovillion,0.86,49,17,196893,Brass,116.3,81.85,Yes,No,Yes,Waterways,No,Working Class,No,01/26/18,01/24/18,"Andrewtown, LA 46069",-5364.93
fffe380032003200,Constance Anderson,0.27,6,5,355,,3.14,15.04,No,No,Yes,Roadways,No,Wealthy,,09-11-2016,09-11-2016,"Port Zacharychester, AR 48147",-181.02
fffe3500300032003700,Rene Anderson,0.17,20,7,3669,Bronze,5.13,11.07,No,No,No,,No,Working Class,Yes,09/29/18,09/28/18,"North Trevorburgh, DE 50456",-152.23
fffe3400300035003900,Michael Johnson,0.54,36,,61696,Brass,61.6,48.17,No,No,Yes,,No,Working Class,No,05-07-2017,05-11-2017,DPO AE 21619,-1731.53
fffe3800390035003300,Verla Vidinha,0.07,9,4,74,Clay,6.77,11.75,No,No,Yes,Roadways,Yes,Working Class,Yes,04-02-2015,03/31/15,"Fritzborough, ID 36011",-137.87
fffe3900340039003800,Bill Diaz,0.51,8,4,215,Clay,6.25,23.85,No,No,No,Roadways,Yes,Wealthy,No,11-06-2018,11-09-2018,"Allenstad, CT 17091",-263.23
fffe3200380038003800,Elizabeth Garcia,0.59,16,8,4679,,10.08,19.77,Yes,No,No,Airways,No,Working Class,,08-09-2018,08-08-2018,"Thomasland, MS 33680",-380.91
fffe3500340032003300,Asha Wilson,0.29,24,12,2443,Clay,5.18,15.8,No,No,Yes,Airways,Yes,Wealthy,No,06/16/19,06-12-2019,"Boonemouth, CO 65200",-300.68
fffe3300310037003100,Alejandro Hagan,0.17,47,23,5624,Aluminium,19.82,63.79,No,No,No,Roadways,No,Working Class,No,07-01-2015,07-01-2015,"Christinamouth, ND 71887",-392.2
fffe3300380034003500,Irene Holland,0.6,,,160742,Marble,554.72,92.44,No,No,Yes,,No,Working Class,,04-12-2017,04-12-2017,FPO AE 57119,-5651.15
fffe3100370031003700,Susan Macdonald,0.98,15,7,3872,Brass,5.49,20.04,Yes,Yes,No,Airways,No,Wealthy,Yes,02/28/19,03-04-2019,"Lake Brandon, WY 10319",-963.88
fffe3700310038003400,Pauline Taylor,0.3,22,9,345055,Stone,365.28,54.25,Yes,No,No,Waterways,No,Working Class,No,11/22/15,11/20/15,"Robertburgh, IA 04749",-1297.25
fffe370034003300,Gerald Elliott,0.25,15,6,553,Clay,3.03,18.09,Yes,No,No,Waterways,Yes,Wealthy,No,05/16/15,05/16/15,"South Codyland, FL 15621",-182.92
fffe3500380039003300,Gary Lamb,,39,7,1073,Aluminium,3.6,23.31,No,No,Yes,,No,Working Class,Yes,06-05-2018,06-01-2018,APO AA 77325,-269.88
fffe3600370038003900,Donald Couture,0.31,7,5,415,Bronze,5.75,22,No,No,Yes,Airways,No,Working Class,No,01-08-2019,01-07-2019,"East Steven, VA 75019",-210.45
fffe3200300032003100,William Melgar,0.12,26,,583,Wood,3.5,16.83,Yes,No,Yes,Waterways,No,Working Class,No,04/23/17,04/24/17,"Lake Rebecca, SC 05690",-140.38
fffe360038003200,Luanne Bohr,0.61,31,,507253,Stone,1377.26,45.19,Yes,Yes,Yes,,No,Wealthy,No,04/21/19,04/17/19,"Solisfurt, WA 42172",-12359.84
fffe3100350034003900,John Stapleton,,43,13,1954301,Stone,839.18,92.25,No,Yes,No,Airways,No,Wealthy,,07-04-2017,07-07-2017,"Coleberg, NH 17679",-8617.36
fffe3500330030003900,Heidi Wengel,,18,8,5263,Brass,7.86,55.05,No,No,Yes,,No,Working Class,,06/25/15,06/23/15,"Scottfurt, VT 77337",-383.26
fffe3900330030003600,Maurice Nickels,0.49,7,5,4736,Stone,18.4,23.76,No,Yes,No,Airways,No,Working Class,Yes,01/24/17,01/28/17,"Duncanland, MA 27640",-323.55
fffe3300320037003300,Jody Johnson,0.68,39,15,3996,Aluminium,11.76,22.39,No,Yes,Yes,,No,Working Class,No,12/16/18,12-12-2018,"Lake Anthonyview, KS 03241",-836.8
fffe3400370030003200,Richard Kelley,0.18,15,7,16227,Marble,46.61,54.29,Yes,Yes,Yes,Airways,No,Wealthy,Yes,04/27/16,04/29/16,"Marksmouth, KY 91618",-595.73
fffe3100340039003600,William Otto,0.38,44,21,2663,Aluminium,4.43,15.69,No,No,No,,No,Working Class,Yes,12/24/15,12/24/15,"Paceside, WA 64883",-232.86
fffe3900330033003900,Susan Engle,0.67,34,13,3151086,Stone,10624.83,44.95,Yes,No,Yes,Waterways,No,Working Class,No,03/27/17,03/28/17,"North Sara, WV 25982",-24383.58
fffe3500300035003900,Timothy Mckenzie,0.68,15,8,143739,Stone,409.34,72.82,No,No,No,Roadways,No,Working Class,No,03-07-2018,03-05-2018,"South Lisa, ME 65065",-4089.47
fffe3100350030003000,Kristine Manuel,0.04,35,17,557,,5.58,18.45,Yes,No,No,Waterways,No,Working Class,,05/28/17,05/31/17,APO AP 40485,-113.86
fffe3200350038003500,Albert Rivard,0.81,,3,495,Stone,6.11,20.95,Yes,No,No,Waterways,No,Working Class,Yes,10-12-2018,10-08-2018,"Miguelchester, NC 53772",-516.72
fffe3100320034003400,Melissa Shawler,0.65,32,11,2135,Aluminium,9.97,14.81,No,Yes,Yes,Airways,No,Working Class,No,11/13/18,11-09-2018,"Hudsonfort, NV 81159",-1157.2
fffe3700310031003800,Roger Henderson,0.84,18,8,10381,Brass,26.1,45.79,Yes,Yes,No,Airways,No,Working Class,No,09-02-2015,08/29/15,"Lake Daniel, MD 54192",-1536.89
fffe3600330039003200,Jennifer Vera,0.69,26,12,524871,Marble,1566.67,59.65,No,No,No,Airways,No,Working Class,No,10/31/16,11-02-2016,"West Ashleyberg, IA 50994",-4300.25
fffe3100340031003100,Charles Plank,0.36,25,24,14074,Clay,34.08,95.89,No,No,Yes,Airways,Yes,Working Class,No,04/18/18,04/21/18,"Lake Coreystad, ME 92198",-1165.4
fffe3700390036003600,Shirley Kelley,0.22,8,4,788,Brass,4.22,24.47,No,No,No,Roadways,No,Working Class,No,03/14/16,03/16/16,"Lake Debraborough, NH 62172",-179.2
fffe3600340038003700,Eloise Wright,0.11,17,7,133437,Stone,210.57,94.13,No,No,Yes,Roadways,No,Working Class,No,03/13/18,03-11-2018,"Jimmyberg, SD 33975",-1050.81
fffe3300310032003300,Michael Allbee,,25,11,1849,,3.13,15.48,No,Yes,Yes,Airways,No,Wealthy,,03-06-2017,03-04-2017,"Kylehaven, WA 37785",-556.87
fffe3800300032003300,Hazel Hodge,0.58,10,4,496,Bronze,3.06,18.67,No,No,No,Roadways,No,Working Class,No,04-04-2017,04-05-2017,"Lake Michelleburgh, HI 10670",-215.68
fffe3300390035003300,Shirley Dwyer,0.17,18,6,,Clay,4.71,17.09,No,No,No,Roadways,Yes,Working Class,No,12/16/16,12/16/16,DPO AA 10827,-148.42
fffe3700330034003700,David Jacobs,0.45,9,5,1247,Brass,6.02,13.52,No,No,Yes,Roadways,No,Working Class,No,09/18/18,09/15/18,"Changbury, NH 29967",-244.62
fffe3400350036003300,Troy Longoria,0.4,14,8,,Clay,3.79,10.26,No,Yes,Yes,,Yes,Wealthy,No,07/26/19,07/29/19,"Port Betty, ME 96374",-213.96
fffe390032003500,Willie Blackwell,0.97,30,15,575,Wood,4.58,13.39,No,No,No,Roadways,No,Working Class,No,11-02-2015,10/31/15,"Martinezport, MD 69892",-708.86
fffe3100350030003600,Antonio Rodriguez,0.87,19,11,250244,Marble,1383.56,95.79,No,No,No,Roadways,No,Working Class,No,02/21/17,02/25/17,"Jamesville, NC 16234",-4083.76
fffe3300340031003100,Jane Brown,0.93,30,10,1016,,9.89,13.29,Yes,No,No,Waterways,No,Working Class,No,11/28/17,11/24/17,"Torresmouth, FL 10307",-3144.43
fffe3700380032003100,Dorothy Nerad,0.38,12,8,2112,Bronze,4.16,17.29,Yes,No,No,Airways,No,Working Class,Yes,04-03-2019,04-01-2019,"Elizabethchester, NH 42816",-251.07
fffe3800360035003300,Mitchell Gates,0.5,16,6,1171,Brass,3.34,18.85,No,No,No,Airways,No,Working Class,Yes,03-06-2019,03-09-2019,"Port Brian, ID 76556",-236.89
fffe320039003800,Dennis Rossetti,0.18,15,6,477,Clay,6.35,15.4,Yes,No,No,Airways,Yes,Working Class,Yes,07-02-2016,06/29/16,"West Raymondbury, CO 71098",-189.24
fffe3600360036003600,Mike Violette,0.38,56,17,50809,Bronze,47.18,67.44,No,No,Yes,Waterways,No,Working Class,No,12/25/17,12/25/17,FPO AA 76709,-1030.25
fffe360035003700,Kenny Gordon,0.88,25,17,768813,Marble,3929.77,55.12,No,No,Yes,Roadways,No,Working Class,Yes,03/27/18,03/24/18,"West Vanessabury, ND 83002",-28508.63
fffe3700360030003000,Cristina Putman,0.22,23,13,345,Wood,6.23,22.3,No,Yes,Yes,Airways,No,Wealthy,No,10/21/16,10/21/16,"West Katie, WI 12237",-225.61
fffe3100340031003900,Bernice Werth,0.43,,14,2851,Aluminium,6.55,22.15,No,Yes,No,,No,Wealthy,Yes,06/29/19,06/30/19,"Larsenbury, NH 80161",-390.57
fffe3400330030003600,Pearl Tindol,0.49,16,,944,Clay,5.49,16.52,No,No,No,Roadways,Yes,Working Class,No,05/27/16,05/30/16,DPO AP 87143,-215.42
fffe3900380033003100,Genevieve Dawson,0.88,24,15,799475,Marble,2896.76,54.34,Yes,Yes,No,Airways,No,Working Class,No,05-12-2015,05-12-2015,"Vaughnside, OH 51731",-20923
fffe3300380033003300,Tommy Mcmanus,0.64,10,4,,Marble,31.69,91.98,Yes,No,Yes,Waterways,No,Working Class,No,07/20/18,07/20/18,"South Virginia, MN 62580",-1043.72
fffe3900380039003500,Calvin Rothenbach,0.03,41,9,494,Wood,5.58,18.88,No,Yes,Yes,Airways,No,Wealthy,No,02-08-2019,02-09-2019,"Port Brittney, VA 80458",-156.01
fffe3200340036003700,Lester Flores,0.28,37,20,9467,Clay,20.41,27.4,No,Yes,No,,Yes,Working Class,No,08/26/16,08/25/16,"Wilsonstad, CT 46259",-428.22
fffe3300350037003500,Charles Decker,,35,13,,Brass,88.84,34.46,No,No,No,,No,Working Class,No,03/30/17,04-02-2017,"Obrienside, MT 61007",-2135.3
fffe380031003500,Taylor Bodi,0.86,14,7,3694,Brass,8.3,17.02,No,Yes,Yes,,No,Working Class,Yes,10-03-2016,10-07-2016,"Lake Rachel, WA 97334",-1494.4
fffe3300300038003300,Joseph Forsyth,0.99,8,,149,Aluminium,6.92,21.85,No,No,No,Waterways,No,Working Class,No,01/17/18,01/19/18,"Alejandrashire, WI 87220",-626.73
fffe3800390039003600,Shanna Davison,0.27,37,16,7365,Clay,28.53,29.16,Yes,No,Yes,Waterways,Yes,Working Class,No,01-10-2015,01/14/15,"East Abigailstad, MA 42359",-336.53
fffe3900330030003800,Richard Ortega,0.42,24,17,4848,Clay,32.42,23.52,Yes,No,Yes,Airways,Yes,Wealthy,No,04-11-2015,04-12-2015,"Samanthaburgh, WY 19962",-552.54
fffe3800370031003000,Donald Cruz,0.3,23,10,1153,Aluminium,3.71,20.65,No,No,No,Roadways,No,Working Class,No,03/17/19,03/14/19,"South Robertfurt, MS 12218",-199.1
fffe3500300038003300,Jerry Crump,0.99,30,7,1104,Aluminium,5.91,14.04,Yes,No,Yes,Waterways,No,Working Class,No,09/24/15,09/28/15,"Williamsborough, IL 67534",-801.86
fffe3700310039003700,Kayla Monteiro,0.34,23,12,450,Wood,4.95,24.48,No,No,No,Roadways,No,Working Class,No,12/14/17,12/15/17,"Lloydbury, IA 05536",-211.1
fffe380031003000,Beverley Lang,,13,7,51068,Stone,153.97,71.73,No,Yes,No,,No,Wealthy,No,02/26/19,03-01-2019,"Robertsberg, NC 46189",-687.11
fffe310033003300,Melina Coppola,0.51,29,10,1996,,11.45,20.82,Yes,No,Yes,,No,Working Class,No,06/20/15,06/22/15,"Marymouth, CA 27970",-330.13
fffe310037003800,Robert Latham,0.36,9,5,63,Wood,4.3,11.28,No,No,No,Roadways,No,Working Class,No,06/27/16,06/29/16,"Lake Chris, CT 07345",-112.03
fffe3900300031003600,Lindsay Christie,0.77,10,5,541,Bronze,5.28,23.04,No,No,No,Roadways,No,Working Class,No,09/21/16,09/17/16,"Ericfort, AZ 07891",-420.24
fffe3200390036003400,Elmer Gomez,,41,9,19928,Bronze,121.37,82.14,No,No,No,Waterways,No,Working Class,,02/16/18,02/16/18,"Annettemouth, KY 91660",-1310.04
fffe340038003400,Russell Campbell,0.79,23,8,152855,Stone,647.77,88.79,No,Yes,No,Roadways,No,Working Class,No,11/29/16,11/28/16,"South Maureen, AK 28476",-19151.67
fffe3700300036003900,Andre Maynard,0.18,26,6,1606,Clay,6.56,16.18,No,No,No,Airways,Yes,Working Class,Yes,12/21/17,12/20/17,"New Allisonton, KS 95141",-185.39
fffe3700350030003600,Peggy Cocks,0.87,7,5,2125,Stone,5.22,19.81,No,Yes,Yes,Roadways,No,Working Class,No,10/21/15,10/21/15,"Mcdonaldbury, IL 36393",-523.71
fffe3100390036003300,Stella Holden,0.32,41,12,7830,Clay,16.23,88.99,No,No,No,Roadways,Yes,Working Class,No,02/26/19,02/27/19,"Jacobfort, AR 77969",-772.7
fffe3400350030003200,Justin Zander,0.58,28,17,896,Wood,3.32,17.24,No,No,Yes,,No,Working Class,Yes,12-10-2017,12/13/17,DPO AP 55477,-344.74
fffe3100360031003100,Cynthia Gallegos,0.03,7,,2168,Marble,4.65,17.06,No,No,No,,No,Working Class,No,12/17/16,12/18/16,"South Melissa, NY 33916",-171.15
fffe3800310039003500,Kelly Rubio,0.4,18,9,322,Wood,5.31,15.7,No,Yes,Yes,Roadways,No,Working Class,No,01/27/18,01/26/18,"East Dakota, TX 25337",-216.4
fffe3800330036003800,Noel Rubio,0.57,4,3,26,Wood,3.15,18.99,Yes,Yes,Yes,Airways,No,Wealthy,No,02-10-2016,02/14/16,"East Sarahview, NJ 04953",-182.64
fffe3100370039003000,Nicole Russell,0.41,19,8,,Aluminium,6.43,11.82,Yes,Yes,No,Airways,No,Working Class,,01-09-2018,01-12-2018,"North Emily, NY 39342",-196.34
fffe3900380037003500,Gladys Anderson,0.48,24,6,59036,Stone,319.06,70.13,No,No,Yes,Airways,No,Working Class,No,05-07-2018,05-07-2018,"Martinezville, NJ 69537",-1964.21
fffe3200370035003900,Jerry Riegel,0.69,25,14,1695010,Stone,7351.07,75.19,Yes,Yes,No,Airways,No,Working Class,,11-07-2016,11-10-2016,DPO AE 01920,-322018.37
fffe3800320032003300,Sam Lemoyne,0.41,11,8,815,Clay,5.52,21.32,No,No,Yes,Waterways,Yes,Working Class,Yes,07/19/18,07/22/18,"East Troyview, AR 59712",-239.33
fffe3200390032003500,Nicolas Godbolt,,9,5,653,Bronze,5.6,22.6,Yes,Yes,No,Airways,No,Wealthy,No,02-02-2017,01/30/17,"Johnsonmouth, IA 82475",-406.91
fffe380031003400,Amanda Ramos,0.16,20,11,2797,,3.03,14.31,Yes,Yes,No,Airways,No,Working Class,,12/28/15,12/30/15,"Debrahaven, DE 26289",-184.31
fffe3800300035003600,Martha Vega,0.47,22,18,18959,Brass,111.06,92.24,No,Yes,No,Airways,No,Working Class,No,04/29/19,04/28/19,"East Michaelshire, ID 18781",-1394.04
fffe3500320037003800,Belinda Curran,0.46,12,8,1448,Bronze,9.85,15.31,Yes,No,Yes,Waterways,No,Working Class,,01/18/15,01/21/15,"Erinchester, ID 42883",-371.58
fffe3800370037003200,Annie Charron,0.65,4,4,78,Bronze,4.63,13.77,No,Yes,Yes,Roadways,No,Wealthy,Yes,04/16/18,04/16/18,"Cannonchester, TX 35002",-231.13
fffe380037003600,Larry Elder,0.32,35,11,491,Wood,3.35,15.16,No,No,No,,No,Wealthy,No,11-07-2016,11-10-2016,"Lake Tammyfurt, WY 99341",-157.6
fffe330039003900,Pauline Tejeda,,13,7,3130,Bronze,6.21,16.02,No,Yes,Yes,Roadways,No,Working Class,No,10-07-2017,10-10-2017,"New Melanie, TN 98394",-164.69
fffe3900310032003000,Florentino Botcher,0.29,42,18,14120,Clay,12.59,72.17,No,No,No,Roadways,Yes,Working Class,No,09/28/17,09/30/17,"Theresamouth, AZ 35749",-655.89
fffe3600390035003700,Leanne Prieto,0.95,44,15,11196,Clay,61.12,57.31,No,No,Yes,Waterways,Yes,Working Class,No,03-04-2019,03-05-2019,"Lake Stephanieville, DC 09403",-7178.95
fffe3700360033003900,Michiko Plunk,0.86,34,11,1793759,Stone,1332.42,25.62,Yes,Yes,Yes,Airways,No,Wealthy,No,12/23/17,12/23/17,"West Sarahbury, AZ 51259",-84932.99
fffe3700390038003500,Elizabeth Outman,0.48,18,9,837,Aluminium,3.12,10.98,Yes,No,Yes,Waterways,No,Working Class,No,05/23/18,05/25/18,"Monicafurt, MI 02309",-182.24
fffe3400300035003800,Loretta Chung,0.58,34,8,463,,3.78,13.34,Yes,No,No,,No,Working Class,Yes,08-04-2016,07/31/16,"Anthonymouth, NY 68517",-297.34
fffe3500310038003900,Janet Gustafson,,5,3,701,Stone,6.7,24.16,Yes,No,No,Airways,No,Working Class,No,03-06-2017,03-08-2017,"New Alexandershire, CT 08215",-253.49
fffe3400370037003800,Michael Vargas,0.62,28,7,,Wood,3.03,13.03,No,No,Yes,Roadways,No,Wealthy,,06/26/16,06/28/16,"Nelsonshire, SD 24250",-290.28
fffe3900370031003300,Rebecca Dale,0.87,26,8,314113,Stone,1846.84,60.7,No,Yes,No,Airways,No,Wealthy,No,10/22/18,10/22/18,"New Stephenland, MI 27223",-8745.47
fffe3800360035003100,Matthew Broberg,0.25,19,11,8648,Bronze,17.04,74.41,No,Yes,No,Airways,No,Working Class,No,02/19/18,02/19/18,APO AA 59051,-527.23
fffe3400300035003100,Tammy Drelick,0.21,27,10,23049,,16.67,77.67,No,No,Yes,,No,Working Class,No,06/27/17,06/24/17,"Amandatown, ID 34098",-730.8
fffe33003300,Theresa Stiles,0.16,29,9,,Clay,6.49,21.95,No,No,No,,Yes,Working Class,No,01-04-2017,01-02-2017,FPO AE 50307,-198.87
fffe3100380031003700,Sherman Bowers,0.47,11,7,1318,Bronze,4.15,13.13,No,No,No,Roadways,No,Working Class,No,11/22/17,11/23/17,APO AP 79851,-179.33
fffe3300390030003300,Erin Firestine,0.84,4,4,43,,3.39,15.75,No,No,Yes,Roadways,No,Working Class,No,06/25/15,06/23/15,FPO AA 02662,-214.77
fffe3400340030003400,Richard Belanger,0.55,35,18,59797,Bronze,238.2,87.86,No,No,No,Roadways,No,Working Class,No,10/28/17,10/31/17,"Lake Travischester, KY 67122",-1756.36
fffe3300370036003400,Elda Miller,0.57,7,5,,Stone,41.61,28.46,No,No,Yes,,No,Working Class,No,10-01-2017,10-03-2017,"Port Pamelaview, CA 77715",-537.6
fffe3300340034003000,Andrew Shifflett,0.54,35,8,278714,Marble,378.41,92.17,Yes,No,Yes,,No,Working Class,No,10/20/15,10/20/15,"West Rodney, NE 24655",-3673.54
fffe3400330035003800,Joyce Heppner,0.1,7,5,2666,,5.12,14.13,Yes,Yes,No,,No,Wealthy,No,06-07-2019,06-07-2019,"Dorothyburgh, MO 72192",-226.23
fffe3500300033003400,Jan Roth,0.34,8,,5153,,8.92,97.79,Yes,No,No,Waterways,No,Working Class,No,03-06-2017,03-07-2017,"Adamtown, HI 31798",-648.1
fffe3500340030003300,Georgie Miles,0.33,28,8,,Clay,8.71,24.06,No,Yes,No,,Yes,Working Class,,02/19/19,02/15/19,DPO AP 24937,-357.42
fffe38003000,Dennis Reed,0.25,14,7,5648,Brass,10.24,79.85,Yes,No,No,Waterways,No,Working Class,No,11-10-2018,11-11-2018,"Port Jessica, SD 38775",-480.86
